,Label,FileName,Score,left,top,Width,Height
117,blueSunglasses,MC2-Image-Data/Person33/Person33_23.jpg,0.29945,1130,324,368,108
118,hairClip,MC2-Image-Data/Person33/Person33_23.jpg,0.76765,1237,188,368,416
119,cloudSign,MC2-Image-Data/Person33/Person33_37.jpg,0.36591999999999997,1907,1920,1000,2460
120,eyeball,MC2-Image-Data/Person33/Person33_37.jpg,0.41813999999999996,2627,2160,694,1280
121,pumpkinNotes,MC2-Image-Data/Person33/Person33_37.jpg,0.32493,14,160,1587,4400
122,redWhistle,MC2-Image-Data/Person33/Person33_37.jpg,0.45653999999999995,387,740,1160,2300
123,sign,MC2-Image-Data/Person33/Person33_37.jpg,0.34786,214,180,1000,5120
124,blueSunglasses,MC2-Image-Data/Person33/Person33_37.jpg,0.34086,1894,2900,1054,560
125,hairClip,MC2-Image-Data/Person33/Person33_37.jpg,0.43504,427,780,1120,2380
126,yellowBag,MC2-Image-Data/Person33/Person33_37.jpg,0.34773000000000004,694,20,2894,3460
127,metalKey,MC2-Image-Data/Person33/Person33_36.jpg,0.44673,14,1180,1546,1301
128,pinkCandle,MC2-Image-Data/Person33/Person33_36.jpg,0.45326000000000005,2568,2006,336,928
129,redWhistle,MC2-Image-Data/Person33/Person33_36.jpg,0.8339799999999999,1734,1160,1412,1301
130,sign,MC2-Image-Data/Person33/Person33_36.jpg,0.65608,1990,1341,1492,1694
131,blueSunglasses,MC2-Image-Data/Person33/Person33_36.jpg,0.29415,1062,1442,1008,313
132,hairClip,MC2-Image-Data/Person33/Person33_36.jpg,0.56824,1103,1119,995,1008
133,lavenderDie,MC2-Image-Data/Person33/Person33_36.jpg,0.52773,2232,1492,444,646
134,eyeball,MC2-Image-Data/Person33/Person33_22.jpg,0.26277,264,379,252,528
135,partyFavor,MC2-Image-Data/Person33/Person33_22.jpg,0.26313000000000003,328,358,448,784
136,pinkCandle,MC2-Image-Data/Person33/Person33_22.jpg,0.25904,236,528,124,656
137,blueSunglasses,MC2-Image-Data/Person33/Person33_22.jpg,0.32936,360,1178,400,272
138,birdCall,MC2-Image-Data/Person33/Person33_34.jpg,0.45023,1492,1160,1344,1321
139,eyeball,MC2-Image-Data/Person33/Person33_34.jpg,0.52458,2568,1311,861,636
140,pinkCandle,MC2-Image-Data/Person33/Person33_34.jpg,0.25889,269,1704,323,1109
141,redWhistle,MC2-Image-Data/Person33/Person33_34.jpg,0.83486,1801,1089,1237,1039
142,sign,MC2-Image-Data/Person33/Person33_34.jpg,0.43518,14,1160,901,1875
143,blueSunglasses,MC2-Image-Data/Person33/Person33_34.jpg,0.4583,1425,1311,1439,605
144,hairClip,MC2-Image-Data/Person33/Person33_34.jpg,0.3471,1654,1250,1008,1180
145,yellowBag,MC2-Image-Data/Person33/Person33_34.jpg,0.25464000000000003,1909,1210,2137,1825
146,sign,MC2-Image-Data/Person33/Person33_20.jpg,0.26059,404,272,312,1333
147,cloudSign,MC2-Image-Data/Person33/Person33_21.jpg,0.27598,757,4,661,608
148,pinkCandle,MC2-Image-Data/Person33/Person33_21.jpg,0.40231999999999996,981,4,214,420
149,sign,MC2-Image-Data/Person33/Person33_21.jpg,0.35862,944,4,299,676
150,birdCall,MC2-Image-Data/Person33/Person33_35.jpg,0.63717,696,1250,1412,2796
151,eyeball,MC2-Image-Data/Person33/Person33_35.jpg,0.3423,746,1331,464,1721
152,pinkCandle,MC2-Image-Data/Person33/Person33_35.jpg,0.37798000000000004,1170,471,454,1667
153,pumpkinNotes,MC2-Image-Data/Person33/Person33_35.jpg,0.27207,313,1654,1744,2393
154,redWhistle,MC2-Image-Data/Person33/Person33_35.jpg,0.28265999999999997,777,2232,1220,1573
155,blueSunglasses,MC2-Image-Data/Person33/Person33_35.jpg,0.26293,978,2971,837,646
156,yellowBag,MC2-Image-Data/Person33/Person33_35.jpg,0.26998,11,14,1502,2809
157,canadaPencil,MC2-Image-Data/Person33/Person33_31.jpg,0.2699,350,565,2500,1603
158,eyeball,MC2-Image-Data/Person33/Person33_31.jpg,0.2788,847,1089,888,636
159,pinkCandle,MC2-Image-Data/Person33/Person33_31.jpg,0.32882,1680,1129,377,988
160,redWhistle,MC2-Image-Data/Person33/Person33_31.jpg,0.51147,2541,1059,1479,1492
161,hairClip,MC2-Image-Data/Person33/Person33_31.jpg,0.40824,484,807,1076,1220
162,lavenderDie,MC2-Image-Data/Person33/Person33_31.jpg,0.26036,1089,1160,404,464
163,yellowBag,MC2-Image-Data/Person33/Person33_31.jpg,0.33181,54,1019,2473,2016
164,canadaPencil,MC2-Image-Data/Person33/Person33_25.jpg,0.25598000000000004,4,6,808,827
165,cloudSign,MC2-Image-Data/Person33/Person33_25.jpg,0.33266,540,427,360,629
166,eyeball,MC2-Image-Data/Person33/Person33_25.jpg,0.31674,384,299,348,448
167,pinkCandle,MC2-Image-Data/Person33/Person33_25.jpg,0.35307,340,262,80,528
168,redWhistle,MC2-Image-Data/Person33/Person33_25.jpg,0.40357,424,310,432,619
169,cloudSign,MC2-Image-Data/Person33/Person33_19.jpg,0.36887,295,248,276,327
170,cupcakePaper,MC2-Image-Data/Person33/Person33_19.jpg,0.33578,206,5,344,467
171,partyFavor,MC2-Image-Data/Person33/Person33_19.jpg,0.27435,3,217,319,304
172,blueSunglasses,MC2-Image-Data/Person33/Person33_19.jpg,0.28096,252,434,252,132
173,hairClip,MC2-Image-Data/Person33/Person33_19.jpg,0.49732,38,329,209,264
174,sign,MC2-Image-Data/Person33/Person33_18.jpg,0.43715,552,59,524,1344
175,lavenderDie,MC2-Image-Data/Person33/Person33_18.jpg,0.61952,512,987,92,187
176,eyeball,MC2-Image-Data/Person33/Person33_24.jpg,0.35058,443,300,363,348
177,pinkCandle,MC2-Image-Data/Person33/Person33_24.jpg,0.37492,805,344,86,416
178,birdCall,MC2-Image-Data/Person33/Person33_30.jpg,0.29529,1926,1014,1707,1068
179,cloudSign,MC2-Image-Data/Person33/Person33_30.jpg,0.33121,902,1160,792,730
180,eyeball,MC2-Image-Data/Person33/Person33_30.jpg,0.36494,2308,1183,943,784
181,redWhistle,MC2-Image-Data/Person33/Person33_30.jpg,0.56803,2390,492,1325,815
182,blueSunglasses,MC2-Image-Data/Person33/Person33_30.jpg,0.31103000000000003,861,1621,874,185
183,hairClip,MC2-Image-Data/Person33/Person33_30.jpg,0.80371,806,1168,1038,830
184,lavenderDie,MC2-Image-Data/Person33/Person33_30.jpg,0.51748,1093,1383,437,361
185,yellowBag,MC2-Image-Data/Person33/Person33_30.jpg,0.32488,929,991,2540,1321
186,eyeball,MC2-Image-Data/Person33/Person33_26.jpg,0.2944,400,880,312,411
187,sign,MC2-Image-Data/Person33/Person33_26.jpg,0.37351999999999996,268,203,236,1285
188,birdCall,MC2-Image-Data/Person33/Person33_32.jpg,0.29312,1613,474,1707,1835
189,canadaPencil,MC2-Image-Data/Person33/Person33_32.jpg,0.29306,14,646,2326,1452
190,cloudSign,MC2-Image-Data/Person33/Person33_32.jpg,0.36359,2003,1109,888,968
191,pumpkinNotes,MC2-Image-Data/Person33/Person33_32.jpg,0.46408,1546,404,1775,1956
192,redWhistle,MC2-Image-Data/Person33/Person33_32.jpg,0.28176999999999996,1707,797,1439,1190
193,trophy,MC2-Image-Data/Person33/Person33_32.jpg,0.25464000000000003,1654,555,1573,2148
194,blueSunglasses,MC2-Image-Data/Person33/Person33_32.jpg,0.30498000000000003,1801,1150,1277,454
195,hairClip,MC2-Image-Data/Person33/Person33_32.jpg,0.55056,1882,837,1116,1160
196,yellowBag,MC2-Image-Data/Person33/Person33_32.jpg,0.39898,14,797,2111,2238
197,eyeball,MC2-Image-Data/Person33/Person33_33.jpg,0.44414,2218,575,1035,797
198,hairClip,MC2-Image-Data/Person33/Person33_33.jpg,0.29725999999999997,2232,525,1008,1351
199,canadaPencil,MC2-Image-Data/Person33/Person33_27.jpg,0.29154,364,208,568,1029
200,eyeball,MC2-Image-Data/Person33/Person33_27.jpg,0.27951,364,699,204,315
201,metalKey,MC2-Image-Data/Person33/Person33_27.jpg,0.38779,320,406,472,667
202,redWhistle,MC2-Image-Data/Person33/Person33_27.jpg,0.49822,216,613,336,475
203,sign,MC2-Image-Data/Person33/Person33_27.jpg,0.30679,580,6,300,1221
204,silverStraw,MC2-Image-Data/Person33/Person33_27.jpg,0.52355,304,299,664,859
205,yellowBag,MC2-Image-Data/Person33/Person33_27.jpg,0.27398,288,475,884,1130
206,canadaPencil,MC2-Image-Data/Person33/Person33_16.jpg,0.29026,588,597,616,1008
207,cloudSign,MC2-Image-Data/Person33/Person33_16.jpg,0.30995,420,256,268,715
208,cupcakePaper,MC2-Image-Data/Person33/Person33_16.jpg,0.31042,228,6,476,677
209,eyeball,MC2-Image-Data/Person33/Person33_16.jpg,0.37246999999999997,508,422,268,416
210,sign,MC2-Image-Data/Person33/Person33_16.jpg,0.48761000000000004,584,470,456,1136
211,silverStraw,MC2-Image-Data/Person33/Person33_16.jpg,0.3403,500,565,704,1013
212,blueSunglasses,MC2-Image-Data/Person33/Person33_16.jpg,0.32559,424,528,264,192
213,yellowBag,MC2-Image-Data/Person33/Person33_16.jpg,0.33191,548,6,656,891
214,eyeball,MC2-Image-Data/Person33/Person33_17.jpg,0.34517,411,544,645,216
215,pinkCandle,MC2-Image-Data/Person33/Person33_17.jpg,0.41113999999999995,672,528,134,388
216,silverStraw,MC2-Image-Data/Person33/Person33_17.jpg,0.36617,6,484,736,652
217,yellowBag,MC2-Image-Data/Person33/Person33_17.jpg,0.37792,6,4,795,716
218,birdCall,MC2-Image-Data/Person33/Person33_29.jpg,0.33532,1371,696,1586,1815
219,cloudSign,MC2-Image-Data/Person33/Person33_29.jpg,0.38359,1640,1190,995,837
220,eyeball,MC2-Image-Data/Person33/Person33_29.jpg,0.26419000000000004,2258,242,968,1029
221,pinkCandle,MC2-Image-Data/Person33/Person33_29.jpg,0.44914,2164,414,538,1129
222,pumpkinNotes,MC2-Image-Data/Person33/Person33_29.jpg,0.27437,1277,837,1734,1089
223,redWhistle,MC2-Image-Data/Person33/Person33_29.jpg,0.27396,1412,1059,1452,1079
224,sign,MC2-Image-Data/Person33/Person33_29.jpg,0.28681999999999996,1062,11,1076,2188
225,trophy,MC2-Image-Data/Person33/Person33_29.jpg,0.32177,1371,515,1546,1785
226,blueSunglasses,MC2-Image-Data/Person33/Person33_29.jpg,0.31945,1775,1412,793,394
227,hairClip,MC2-Image-Data/Person33/Person33_29.jpg,0.28606,1546,948,1210,1351
228,yellowBag,MC2-Image-Data/Person33/Person33_29.jpg,0.31583,14,11,1896,2037
229,sign,MC2-Image-Data/Person33/Person33_15.jpg,0.64218,808,565,352,1040
230,lavenderDie,MC2-Image-Data/Person33/Person33_15.jpg,0.26436,584,736,112,251
231,cloudSign,MC2-Image-Data/Person33/Person33_14.jpg,0.26687,4,6,300,661
232,eyeball,MC2-Image-Data/Person33/Person33_14.jpg,0.26389,116,86,376,427
233,pinkCandle,MC2-Image-Data/Person33/Person33_14.jpg,0.27085,676,464,92,544
234,trophy,MC2-Image-Data/Person33/Person33_14.jpg,0.27123,20,6,556,827
235,blueSunglasses,MC2-Image-Data/Person33/Person33_14.jpg,0.26036,368,859,376,230
236,yellowBag,MC2-Image-Data/Person33/Person33_14.jpg,0.36864,192,805,568,800
237,redWhistle,MC2-Image-Data/Person33/Person33_28.jpg,0.851,,,2299,1360
238,pinkCandle,MC2-Image-Data/Person33/Person33_10.jpg,0.25888,204,21,53,273
239,sign,MC2-Image-Data/Person33/Person33_10.jpg,0.33731,3,359,214,533
240,silverStraw,MC2-Image-Data/Person33/Person33_10.jpg,0.27563000000000004,101,356,360,483
241,yellowBag,MC2-Image-Data/Person33/Person33_10.jpg,0.33349,3,72,351,675
242,cloudSign,MC2-Image-Data/Person33/Person33_38.jpg,0.26624000000000003,1780,987,1120,1640
243,eyeball,MC2-Image-Data/Person33/Person33_38.jpg,0.38592,2520,2280,1340,867
244,pinkCandle,MC2-Image-Data/Person33/Person33_38.jpg,0.688,4680,894,480,1400
245,sign,MC2-Image-Data/Person33/Person33_38.jpg,0.69006,4200,14,1480,3627
246,silverStraw,MC2-Image-Data/Person33/Person33_38.jpg,0.28224,3980,1094,1820,2054
247,blueSunglasses,MC2-Image-Data/Person33/Person33_38.jpg,0.26361,1920,2587,860,240
248,lavenderDie,MC2-Image-Data/Person33/Person33_38.jpg,0.5685600000000001,1900,1494,860,667
249,yellowBag,MC2-Image-Data/Person33/Person33_38.jpg,0.28917,1660,374,3980,2920
250,cloudSign,MC2-Image-Data/Person33/Person33_39.jpg,0.33348,1160,2667,1460,1174
251,eyeball,MC2-Image-Data/Person33/Person33_39.jpg,0.52375,1920,787,1740,1027
252,pinkCandle,MC2-Image-Data/Person33/Person33_39.jpg,0.29415,1640,2374,520,1294
253,blueSunglasses,MC2-Image-Data/Person33/Person33_39.jpg,0.29138000000000003,2820,1094,1660,347
254,hairClip,MC2-Image-Data/Person33/Person33_39.jpg,0.6536,1180,2640,1500,1360
255,lavenderDie,MC2-Image-Data/Person33/Person33_39.jpg,0.44343999999999995,1620,3240,560,600
256,yellowBag,MC2-Image-Data/Person33/Person33_39.jpg,0.4621,1680,520,3920,3200
257,canadaPencil,MC2-Image-Data/Person33/Person33_11.jpg,0.28298,310,456,392,453
258,cloudSign,MC2-Image-Data/Person33/Person33_11.jpg,0.29594000000000004,168,105,208,416
259,pinkCandle,MC2-Image-Data/Person33/Person33_11.jpg,0.35864,192,379,70,328
260,sign,MC2-Image-Data/Person33/Person33_11.jpg,0.5492100000000001,173,55,105,963
261,yellowBag,MC2-Image-Data/Person33/Person33_11.jpg,0.40081999999999995,362,4,341,676
262,cloudSign,MC2-Image-Data/Person33/Person33_13.jpg,0.35152,180,14,87,108
263,eyeball,MC2-Image-Data/Person33/Person33_13.jpg,0.31648000000000004,130,507,202,166
264,sign,MC2-Image-Data/Person33/Person33_13.jpg,0.26409,516,87,207,665
265,birdCall,MC2-Image-Data/Person33/Person33_12.jpg,0.44137,325,300,547,423
266,cupcakePaper,MC2-Image-Data/Person33/Person33_12.jpg,0.30239,427,3,517,368
267,eyeball,MC2-Image-Data/Person33/Person33_12.jpg,0.38473,500,353,384,176
268,pinkCandle,MC2-Image-Data/Person33/Person33_12.jpg,0.37866,649,315,82,250
269,sign,MC2-Image-Data/Person33/Person33_12.jpg,0.45136000000000004,5,128,316,596
270,lavenderDie,MC2-Image-Data/Person33/Person33_12.jpg,0.43896999999999997,419,420,154,130
271,yellowBag,MC2-Image-Data/Person33/Person33_12.jpg,0.26816999999999996,30,3,943,360
272,birdCall,MC2-Image-Data/Person33/Person33_7.jpg,0.27901,257,506,250,434
273,pinkCandle,MC2-Image-Data/Person33/Person33_7.jpg,0.34255,413,359,39,278
274,pumpkinNotes,MC2-Image-Data/Person33/Person33_7.jpg,0.26618,3,4,353,578
275,hairClip,MC2-Image-Data/Person33/Person33_7.jpg,0.5493399999999999,27,350,195,319
276,cloudSign,MC2-Image-Data/Person33/Person33_49.jpg,0.36198,1598,853,1188,1053
277,cupcakePaper,MC2-Image-Data/Person33/Person33_49.jpg,0.3584,1229,538,1967,1375
278,pinkCandle,MC2-Image-Data/Person33/Person33_49.jpg,0.34434000000000003,2854,469,396,868
279,birdCall,MC2-Image-Data/Person33/Person33_61.jpg,0.3301,1560,534,2460,2027
280,pinkCandle,MC2-Image-Data/Person33/Person33_61.jpg,0.26252,2920,1427,560,1414
281,redWhistle,MC2-Image-Data/Person33/Person33_61.jpg,0.52081,1780,1094,1980,1520
282,sign,MC2-Image-Data/Person33/Person33_61.jpg,0.28155,2500,907,1380,2987
283,hairClip,MC2-Image-Data/Person33/Person33_61.jpg,0.8859899999999999,2080,1147,1460,1494
284,lavenderDie,MC2-Image-Data/Person33/Person33_61.jpg,0.34165,2520,1520,520,640
285,yellowBag,MC2-Image-Data/Person33/Person33_61.jpg,0.25545999999999996,20,14,3320,2507
286,cloudSign,MC2-Image-Data/Person33/Person33_60.jpg,0.42549,2796,1348,1321,1440
287,eyeball,MC2-Image-Data/Person33/Person33_60.jpg,0.34497,2811,1636,1245,957
288,blueSunglasses,MC2-Image-Data/Person33/Person33_60.jpg,0.32114000000000004,2888,1867,1152,438
289,hairClip,MC2-Image-Data/Person33/Person33_60.jpg,0.52818,16,1498,984,1222
290,yellowBag,MC2-Image-Data/Person33/Person33_60.jpg,0.4114,62,818,3487,2650
